P_020 Weekly Audit â€” 2026-03-15 15:05:09
Account: AJZ6348
Input records: 377
==================================================
Tracker Dashboard: loaded (194 entries)
Consolidation: 377 entries â†’ 371 (merged 6 fills)
OK: DASH 2025-08-19 system=TOS_Import exits=1 status=closed
OK: AFL 2025-08-18 system=TOS_Import exits=1 status=closed
OK: PM 2025-08-18 system=TOS_Import exits=0 status=open
OK: SNVXX 2024-10-29 system=TOS_Import exits=3 status=closed
OK: ALTS 2025-08-13 system=TOS_Import exits=1 status=closed
OK: IBM 2025-08-12 system=TOS_Import exits=3 status=closed
OK: CCI 2025-08-11 system=TOS_Import exits=1 status=closed
OK: AAP 2025-08-06 system=TOS_Import exits=2 status=closed
OK: C 2025-08-05 system=TOS_Import exits=3 status=closed
OK: GOOG 2025-08-05 system=TOS_Import exits=3 status=closed
OK: COP 2025-07-28 system=TOS_Import exits=3 status=closed
OK: DAL 2025-07-28 system=TOS_Import exits=3 status=closed
OK: UBER 2025-07-24 system=TOS_Import exits=2 status=closed
OK: PLTR 2025-07-24 system=TOS_Import exits=3 status=closed
OK: UBER 2025-07-22 system=TOS_Import exits=2 status=closed
OK: SWPPX 2025-07-21 system=TOS_Import exits=1 status=partial
OK: SNVXX 2025-07-21 system=TOS_Import exits=3 status=partial
OK: VZ 2025-07-21 system=TOS_Import exits=1 status=closed
OK: LRCX 2025-07-21 system=TOS_Import exits=3 status=closed
OK: BANC 2025-07-21 system=TOS_Import exits=1 status=closed
OK: CAH 2025-07-21 system=TOS_Import exits=3 status=closed
OK: IBM 2025-07-15 system=TOS_Import exits=3 status=closed
OK: APH 2025-07-11 system=TOS_Import exits=3 status=closed
OK: RBLX 2025-07-11 system=TOS_Import exits=3 status=closed
OK: PLTR 2025-07-08 system=TOS_Import exits=3 status=closed
OK: BBY 2025-07-08 system=TOS_Import exits=3 status=closed
OK: IBM 2025-07-08 system=TOS_Import exits=3 status=closed
OK: BBY 2025-07-07 system=TOS_Import exits=3 status=closed
OK: BTDR 2025-07-02 system=TOS_Import exits=1 status=closed
OK: SCHW 2025-06-30 system=TOS_Import exits=3 status=closed
OK: ADM 2025-06-30 system=TOS_Import exits=3 status=closed
OK: AMIX 2025-06-30 system=TOS_Import exits=1 status=closed
OK: PPTA 2025-06-27 system=TOS_Import exits=1 status=closed
OK: PLTR 2025-06-27 system=TOS_Import exits=3 status=partial
OK: CCJ 2025-06-26 system=TOS_Import exits=3 status=closed
OK: CRNC 2025-06-25 system=TOS_Import exits=1 status=closed
OK: AAPL 2025-06-25 system=TOS_Import exits=3 status=closed
OK: CCJ 2025-06-24 system=TOS_Import exits=3 status=closed
OK: DGICA 2025-06-24 system=TOS_Import exits=2 status=closed
OK: RBLX 2025-06-23 system=TOS_Import exits=3 status=closed
OK: RBLX 2025-06-23 system=TOS_Import exits=3 status=closed
OK: KO 2025-06-23 system=TOS_Import exits=2 status=closed
OK: MS 2025-06-23 system=TOS_Import exits=3 status=closed
OK: RDFN 2025-06-23 system=TOS_Import exits=1 status=closed
OK: HOOD 2025-06-20 system=TOS_Import exits=3 status=closed
OK: IMDX 2025-06-18 system=TOS_Import exits=1 status=closed
OK: CSCO 2025-06-16 system=TOS_Import exits=3 status=closed
OK: ADM 2025-06-16 system=TOS_Import exits=3 status=closed
OK: AMZN 2025-06-16 system=TOS_Import exits=3 status=closed
OK: CCJ 2025-06-16 system=TOS_Import exits=3 status=closed
OK: AMD 2025-06-16 system=TOS_Import exits=3 status=closed
OK: SGML 2025-06-10 system=TOS_Import exits=1 status=closed
OK: MAG 2025-06-09 system=TOS_Import exits=2 status=closed
