2026-07-14 12:57:17,630 | INFO | infrastructure.bulk_grid_reader | Parsing bulk file 10_Pattern_ADBE.xlsx
2026-07-14 12:57:17,630 | INFO | infrastructure.bulk_grid_reader | Loading bulk manifest: C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\parameters\bulk_ingest_manifest.json
2026-07-14 12:57:17,943 | INFO | infrastructure.bulk_grid_reader | Parsed 2513 bars from 10_Pattern_ADBE.xlsx
2026-07-14 12:57:18,251 | INFO | infrastructure.bulk_grid_reader | Parsing bulk file 10_Pattern_AMD.xlsx
2026-07-14 12:57:18,251 | INFO | infrastructure.bulk_grid_reader | Loading bulk manifest: C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\parameters\bulk_ingest_manifest.json
2026-07-14 12:57:18,623 | INFO | infrastructure.bulk_grid_reader | Parsed 2513 bars from 10_Pattern_AMD.xlsx
2026-07-14 12:57:18,850 | INFO | infrastructure.bulk_grid_reader | Parsing bulk file 10_Pattern_AME.xlsx
2026-07-14 12:57:18,850 | INFO | infrastructure.bulk_grid_reader | Loading bulk manifest: C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\parameters\bulk_ingest_manifest.json
2026-07-14 12:57:19,201 | INFO | infrastructure.bulk_grid_reader | Parsed 2512 bars from 10_Pattern_AME.xlsx
2026-07-14 12:57:19,603 | INFO | infrastructure.bulk_grid_reader | Parsing bulk file 10_Pattern_AMZN.xlsx
2026-07-14 12:57:19,603 | INFO | infrastructure.bulk_grid_reader | Loading bulk manifest: C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\parameters\bulk_ingest_manifest.json
2026-07-14 12:57:19,962 | INFO | infrastructure.bulk_grid_reader | Parsed 2512 bars from 10_Pattern_AMZN.xlsx
2026-07-14 12:57:20,241 | INFO | infrastructure.bulk_grid_reader | Parsing bulk file 10_Pattern_AVGO.xlsx
2026-07-14 12:57:20,241 | INFO | infrastructure.bulk_grid_reader | Loading bulk manifest: C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\parameters\bulk_ingest_manifest.json
2026-07-14 12:57:20,586 | INFO | infrastructure.bulk_grid_reader | Parsed 2513 bars from 10_Pattern_AVGO.xlsx
2026-07-14 12:57:20,812 | INFO | infrastructure.bulk_grid_reader | Parsing bulk file 10_Pattern_BAC.xlsx
2026-07-14 12:57:20,812 | INFO | infrastructure.bulk_grid_reader | Loading bulk manifest: C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\parameters\bulk_ingest_manifest.json
2026-07-14 12:57:21,172 | INFO | infrastructure.bulk_grid_reader | Parsed 2513 bars from 10_Pattern_BAC.xlsx
2026-07-14 12:57:21,525 | INFO | infrastructure.bulk_grid_reader | Parsing bulk file 10_Pattern_BLK.xlsx
2026-07-14 12:57:21,526 | INFO | infrastructure.bulk_grid_reader | Loading bulk manifest: C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\parameters\bulk_ingest_manifest.json
2026-07-14 12:57:21,867 | INFO | infrastructure.bulk_grid_reader | Parsed 2513 bars from 10_Pattern_BLK.xlsx
2026-07-14 12:57:22,212 | INFO | infrastructure.bulk_grid_reader | Parsing bulk file 10_Pattern_BURL.xlsx
2026-07-14 12:57:22,213 | INFO | infrastructure.bulk_grid_reader | Loading bulk manifest: C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\parameters\bulk_ingest_manifest.json
2026-07-14 12:57:22,561 | INFO | infrastructure.bulk_grid_reader | Parsed 2513 bars from 10_Pattern_BURL.xlsx
2026-07-14 12:57:22,861 | INFO | infrastructure.bulk_grid_reader | Parsing bulk file 10_Pattern_CAT.xlsx
2026-07-14 12:57:22,861 | INFO | infrastructure.bulk_grid_reader | Loading bulk manifest: C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\parameters\bulk_ingest_manifest.json
